subject,from,date,body
Batch Snaps 2021 | Tentative Dates and Announcement,"""Mail Admin @ Pilani Campus"" <mailadmin@pilani.bits-pilani.ac.in>","Mon, 8 Nov 2021 18:13:17 +0530","Greetings from *Student Alumni Relations Cell*!

We understand that Batch Snaps and the Yearbook are an integral part of
every BITSian=E2=80=99s Life and capture the nostalgic memories of the grad=
uating
batch. The eventful years spent on the campus with seniors, batchmates and
juniors turn into lifelong friendships. The Yearbook and Photos are what
capture these memories for years to come.

Traditionally, the Batch Snaps are held in the second semester of your
pre-final year. However, due to COVID, they were not organized for the past
two years. With things being normalized and students back on campus, the
Student Alumni Relations Cell is elated to announce that we are organizing
the Batch Snaps for FD Batch of 2018 (Single Degree and Dual Degree
Students), HD Batch of 2020 and MBA Batch of 2020, tentatively on 19th,
20th and 21st November 2021 (Friday, Saturday and Sunday).

This has been planned after extensive discussion and proper permissions
from the administration and Director. According to your branch, they will
be organized in slots, and every student participating in the Batch Snaps
will have to *strictly follow all mandated guidelines*. A comprehensive
document will be soon shared with detailed instructions, guidelines and
schedule. This mail has been sent so that students can plan their leaves
accordingly if they wish to participate in the Batch Snaps.

The snaps will be organized on the dates mentioned above unless
communicated otherwise due to unavoidable circumstances. Please note that
you would be only allowed to enter the venue in your designated slots, and
this will be organized just for the students of the graduating batch who
are on campus.

We are aware that some 2018 FD Single Degree Students are on PS-2. For such
students, we would probably organize them next semester if the conditions
allow. Please find attached a Document
<https://drive.google.com/file/d/1F6n8mVwescMLt94zmNhSpR4szE5x3pva/view?usp=
=3Dsharing>
with some frequently asked questions.


We encourage you to contact the undersigned if you have any other doubts:

Yash Thakker: +91 9725791724

Vidushi Sahay: +91 9871941631


*Regards,*
*Student Alumni Relations Cell*
"
Schedule of Mid Semester Make-up Examination,AUGSD Pilani <augsdpilani@pilani.bits-pilani.ac.in>,"Mon, 8 Nov 2021 13:10:26 +0530","Dear All,



You can see the schedule of Mid Semester Make-up Examination of your
course(s) for the First Semester 2021-22 on AUGSD-AGSRD website (Except
First Degree students admitted in AY 2021-22).



*All students who had not appeared in Mid Semester Examination can appear
in the Make-up Examination. Please note that no further make-up requests
will be entertained. *



Instructors are requested not to conduct any evaluative components during
Mid Semester Make-up Examination duration (November 22-27, 2021).
Considering the same, Instructors can conduct evaluation components up to
the last day of classwork (December 09, 2021).



Associate Deans
AUGSD/AGSRD
"
Class rooms assigned for all ongoing courses,AUGSD Pilani <augsdpilani@pilani.bits-pilani.ac.in>,"Mon, 8 Nov 2021 10:31:47 +0530","Dear Students,



Please note that in order to conduct the offline classes, the classrooms
have been assigned for all courses. You are requested to refer the latest
timetable available in AUGSD-AGSRD website for the allotted classroom for
your registered courses.



As per earlier email dated October 25, 2021, Instructor will provide
opportunity to the students who are not on-campus for online classes as
well as evaluations components (excluding Mid Semester Make-up and
Comprehensive Exams).




Associate Deans
AUGSD/AGSRD
"
Evening Canteen Extended,"""Mail Admin @ Pilani Campus"" <mailadmin@pilani.bits-pilani.ac.in>","Sat, 6 Nov 2021 11:56:25 +0530","SOCIETY FOR STUDENT MESS SERVICES, PILANI

(Registered Under Rajasthan Societies Act, 1958)

SSMS Office, Vidya Vihar Campus, BITS Pilani

____________________________________________________________________________________



Greetings,



We hope that you enjoyed relishing the healthy and delectable snacks that
were served in the Night Canteen for the last 3 days.



This is to inform you that post the trial 3-day basis for the Night
Canteen, we are happy to announce that the Evening Canteen will be
operational on a trial basis for *this week (6th Nov to 12th Nov)* in the
same messes. The canteen will serve the same menu and fulfillment of all
transactions pertaining to the Evening Canteen shall be at the PitStop
via Student
ID Cards only. The Pitstop shall also be operational for the sale of usual
items during these times.



Date: 6th November and 12th November 2021

Time: 4:30 - 5:30 pm

Location: Krishna Gandhi and Ram Budh messes



Please note that entry into RB and KG messes for Evening Canteen is
permitted to all BITSians regardless of their hostel or gender. The menu at
both the messes is also made a little different for the sake of variety.

Regards

SSMS Governing Council
"
Roshani- An Initiative by Nirmaan! (Reminder mail),"""Mail Admin @ Pilani Campus"" <mailadmin@pilani.bits-pilani.ac.in>","Wed, 3 Nov 2021 13:01:19 +0530","Greetings everyone,

May this festival add new hope, confidence, and courage to your heart,
preparing you for a successful journey forward.

Nirmaan volunteers understand the importance of volunteer work and its role
in providing better opportunities and equality for everyone. Working online
for the last one and half years has
taught us a lot but our activities as a NGO have been more impactful
working on the campus. To kickstart our momentum for the women empowerment
projects this year we bring forth to you Roshani!

=E2=80=9CHow far that little candle throws his beams! So shines a good deed=
 in a
weary world.=E2=80=9D
=E2=80=95 William Shakespeare, The Merchant of Venice

Roshani is our attempt to rekindle our production at full capacity housed
at our Swayamshakti Centre at PARC. Assorted diyas with tessellation
designs handcrafted by our beneficiaries are in store to light up homes
this Diwali. Celebrate the persistent efforts made by people who stayed
resilient during the pandemic and are trying their best to rise above their
circumstances. Let's help spread light to everyone's home, one diya at a
time.

Students are requested to come to Akshay and buy the Diyas. We will be
selling at the regular Akshay timings till Diwali.

If you wish to support the initiative Roshani go ahead and place your Diya
orders here:

https://forms.gle/UJ2iwRiy8uxnGLvs6

Contacts:
Coordinators
Srijan: +91 9431711435
Ayush: +91 7776851043

President
Rimen: +91 9888732416
Vice President
Oishika: +91 8879994931
"
"SSMS Sweets, Evening Canteen and Diwali","""Mail Admin @ Pilani Campus"" <mailadmin@pilani.bits-pilani.ac.in>","Tue, 2 Nov 2021 16:20:38 +0530","SOCIETY FOR STUDENT MESS SERVICES, PILANI

(Registered Under Rajasthan Societies Act, 1958)

SSMS Office, Vidya Vihar Campus, BITS Pilani

____________________________________________________________________________________



Greetings,



We hope that you enjoyed relishing on the healthy and delectable snacks
that were served in the Night Canteen for the last 3 days.



This is to inform you that post the trial 3-day basis for the Night
Canteen, we are happy to announce that the Evening Canteen will be
operational on a trial basis for the next 2 days in the same messes. The
canteen will serve the same menu and fulfillment of all transactions
pertaining to the Evening Canteen shall be at the PitStop via Student ID
Cards only. The Pitstop shall also be operational for the sale of usual
items during these times.



Date: 2nd November and 3rd November 2021

Time: 4:30 - 5:30 pm

Location: Krishna Gandhi and Ram Budh messes



Please note that entry into RB and KG messes for Evening Canteen is
permitted to all BITSians regardless of their hostel or gender. Menu at
both the messes is also made a little different for the sake of variety.


The students and faculty members who have ordered *SSMS Sweets *can collect
their orders from *Krishna Gandhi Mess tomorrow (3rd November 2021) from 9
AM to 5 PM anytime. *


*Imp Note - * Mess will remain closed for *dinner on 4th November 2021*
*only* on account of Diwali.


SSMS wishes you all a very Happy Diwali!



Regards

Garvit Sukhija

Personal Email <garvitsukhija11@gmail.com> | University Email
<f20190952@pilani.bits-pilani.ac.in>

The President

SSMS Governing Council
"
Roshani- An Initiative by Nirmaan,"""Mail Admin @ Pilani Campus"" <mailadmin@pilani.bits-pilani.ac.in>","Tue, 2 Nov 2021 14:19:18 +0530","Greetings everyone,

May this festival add new hope, confidence, and courage to your heart,
preparing you for a successful journey forward.

Nirmaan volunteers understand the importance of volunteer work and its role
in providing better opportunities and equality for everyone. Working online
for the last one and half years has
taught us a lot but our activities as a NGO have been more impactful
working on the campus. To kickstart our momentum for the women empowerment
projects this year we bring forth to you Roshani!

=E2=80=9CHow far that little candle throws his beams! So shines a good deed=
 in a
weary world.=E2=80=9D
=E2=80=95 William Shakespeare, The Merchant of Venice

Roshani is our attempt to rekindle our production at full capacity housed
at our Swayamshakti Centre at PARC. Assorted diyas with tessellation
designs handcrafted by our beneficiaries are in store to light up homes
this Diwali. Celebrate the persistent efforts made by people who stayed
resilient during the pandemic and are trying their best to rise above their
circumstances. Let's help spread light to everyone's home, one diya at a
time.

If you wish to support the initiative Roshani go ahead and place your Diya
orders here:

https://forms.gle/UJ2iwRiy8uxnGLvs6

Contacts:
Coordinators
Srijan: +91 9431711435
Ayush: +91 7776851043

President
Rimen: +91 9888732416
Vice President
Oishika: +91 8879994931
"
Joining Details | UC GBM Meet | 7:00 PM,Student Union BITS Pilani <studentunion@pilani.bits-pilani.ac.in>,"Sat, 30 Oct 2021 14:40:14 +0530","Respected Members of the GBM,


Kindly find below, the* Stream Link <https://youtu.be/hl0Z8pODxWw>* of the
UC GBM meet scheduled to be held at *7:00** PM, 30th October 2021.*


Students wishing to pitch new clubs are requested to fill the attached *Google
Form* <https://forms.gle/sTXMs2rfYAsr7zL77>, the proposals for which would
be discussed in the aforementioned meet.


*Regards*
*Students' Union 2021-22*
"
Students' Union Cab Service | Diwali Vacations,"""General Secretary, Harsh Lamba"" <gensec@pilani.bits-pilani.ac.in>","Fri, 29 Oct 2021 18:52:40 +0530","*Greetings from the Students' Union!*

As the diwali vacations are here, there is a rising concern about how one
would leave the campus at the most affordable cost for travel.

The Student Union of BITS Pilani has commenced the *SU Cab Service,* to
provide hassle-free transportation for all the students during the Diwali
vacations at the most affordable prices. The cabs can be availed from the
campus and return as well from major railway stations and airports of
Delhi, Jaipur and Loharu.

If you wish to avail the service, reach out to the following contact :
*Dhruv Tours and Travels *
*Mob - (8769570387 , 9166088888)*

Furthermore please fill this google form with all the relevant information
regarding you availing the service.

*Student Union Cab Service * <https://forms.gle/VLcwzwPLPafYhmgf7>

Attached are the details regarding how one can avail this service.

Failure to comply with the Guidelines can lead to incorrect charges on mess
accounts and only the student will be responsible for the same.

Upon any queries throughout the process,

Contact :
*Anirudh TK *- +919840624571
*Yash Saboo *- +919534065076
*Naman Gupta* - +918791629985

*The Students' Union wishes you all a safe journey and a very happy Diwali!*

--

*Regards*
*Student Union 2021-22*
"
Guru Prasad Burnwal,"""Mail Admin @ Pilani Campus"" <mailadmin@pilani.bits-pilani.ac.in>","Fri, 29 Oct 2021 14:40:19 +0530","Dear all campus Residents
Covid 19 vaccination camp has been arranged tomorrow on 30.10.2021,Saturday
from 10 am to 12 pm at our Medical center with the help of local
Govt.authority.Any eligible person who are due for vaccination either 1st
or 2nd dose can get their jab done tomorrow in schedule time.Available
vaccine will be covisheild.

With best Regards
Dr.Guru prasad Burnwal
CMO
"
